Top 100 Features by Category (After Feature Engineering)
============================================================

Feature Engineering Applied: Non-discriminative features removed
Max Features Limit: 3000

Category: economic
------------------------------
Documents in category: 2000

Rank   Feature                        Weight      
72     ស្រូវ                          0.01468922
73     គ្រឿង                          0.01462087
74     ចំណុច                          0.01442571
75     ថាមពល                          0.01438151
76     ថ្លែង                          0.01433327
77     ភ្ញៀវ                          0.01401010
78     ជន                             0.01386387
79     ប្រភេទ                         0.01359735
80     ទេសចរណ៍                        0.01355923
81     ប្រព័ន្ធ                       0.01339362
82     មាស                            0.01313935
83     នាយក                           0.01294910
84     ឡើងវិញ                         0.01293707
85     ប្រសិទ្ធភាព                    0.01220722
86     កសិករ                          0.01155826
87     រថយន្ត                         0.01145661
88     អភិវឌ្ឍន៍                      0.01110995
89     ទិញ                            0.01047184
90     សេដ្ឋកិច្ច                     0.01039117
91     អន្តរជាតិ                      0.01009976
92     កម្លាំង                        0.01009220
93     ចំណូល                          0.00986845
94     ប្រភព                          0.00980828
95     រៀល                            0.00948545
96     សមាជិក                         0.00944535
97     ជំរុញ                          0.00928306
98     សុវត្ថិភាព                     0.00927149
99     ខាងមុខ                         0.00914748
100    ប្រជាជន                        0.00887264

Actual features saved: 100

============================================================

Category: health
------------------------------
Documents in category: 2000

Rank   Feature                        Weight      
--------------------------------------------------
1      កូន                            0.21434151
2      ជំងឺ                           0.17713685
3      ឈាម                            0.12338458
4      ជាតិ                           0.11553988
5      សាលារៀន                        0.11510704
6      កូវីដ                          0.08319738
7      កុមារ                          0.08114755
8      ប៉ះពាល់                        0.05582973
9      ក្មេង                          0.05398693
10     ប្រព័ន្ធ                       0.04844744
11     រឿង                            0.04653356
12     ប្រភេទ                         0.04592372
13     ករណី                           0.04364309
14     ប្រឆាំង                        0.04066099
15     ប្រភព                          0.03525711
16     ប្រសិទ្ធភាព                    0.03306633
17     រក្សា                          0.03186253
18     ឈើ                             0.02863689
19     ផលិត                           0.02812303
20     ប្រទេស                         0.02746875
21     ធម្មជាតិ                       0.02746098
22     សកម្មភាព                       0.02697973
23     លក់                            0.02675183
24     ដៃ                             0.02641123
25     ដោយសារ                         0.02631471
26     ផ្ទះ                           0.02624747
27     គ្រាប់                         0.02577600
28     គ្រួសារ                        0.02348600
29     ប្រឈម                          0.02188968
30     ទូរស័ព្ទ                       0.02172605
31     កម្លាំង                        0.02149862
32     ក្រសួង                         0.02026333
33     ក្រោម                          0.01992317
34     យោង                            0.01960122
35     ពលរដ្ឋ                         0.01937237
36     ថាមពល                          0.01928517
37     ផលិតផល                         0.01846307
38     ពិភពលោក                        0.01793872
39     ត្រី                           0.01676838
40     កើនឡើង                         0.01669004
41     រស់                            0.01649168
42     ជំរុញ                          0.01632029
43     សុវត្ថិភាព                     0.01521667
44     ផ្លូវ                          0.01515148
45     ចំណុច                          0.01477139
46     ឡើងវិញ                         0.01390009
47     អត់                            0.01307507
48     រ៉ែ                            0.01248674
49     សត្វ                           0.01235618
50     សង្គម                          0.01152857
51     សហគមន៍                         0.01139857
52     សែន                            0.01129596
53     តំបន់                          0.01103699
54     រដ្ឋាភិបាល                     0.01097141
55     ប្រជាជន                        0.01005507
56     គ្រឿង                          0.01004097
57     ទិញ                            0.00924264
58     ខាងមុខ                         0.00886252
59     ថ្លៃ                           0.00876843
60     សហរដ្ឋ                         0.00831513
61     វគ្គ                           0.00819269
62     កីឡា                           0.00800379
63     នាយក                           0.00799120
64     ក្រុមហ៊ុន                      0.00794508
65     ប្រជាពលរដ្ឋ                    0.00731364
66     អាជ្ញាធរ                       0.00674293
67     ម៉ាស៊ីន                        0.00658384
68     កំពូល                          0.00630738
69     សេរី                           0.00627521
70     ពាក់ព័ន្ធ                      0.00622714
71     ផ្សាយ                          0.00604757
72     រដ្ឋ                           0.00594815
73     ពួកគាត់                        0.00594565
74     មន្ត្រី                        0.00569849
75     ហ៊ុន                           0.00541772
76     ជេរ                            0.00524595
77     អះអាង                          0.00464642
78     រដ្ឋមន្ត្រី                    0.00439047
79     សមាជិក                         0.00434804
80     សម្តេច                         0.00421759
81     ជនជាតិ                         0.00416940
82     ប្រមាថ                         0.00396646
83     សេចក្ដីថ្លៃថ្នូរ               0.00387724
84     ប្រធាន                         0.00382246
85     មូលដ្ឋាន                       0.00363023
86     ទំនិញ                          0.00354211
87     ស្ថាប័ន                        0.00350183
88     យុវជន                          0.00326834
89     ពិធី                           0.00324518
90     អគ្គ                           0.00314813
91     វិស័យ                          0.00302520
92     បរិស្ថាន                       0.00297896
93     មាស                            0.00296714
94     អន្តរជាតិ                      0.00294548
95     សមាគម                          0.00291869
96     សេដ្ឋកិច្ច                     0.00278354
97     ម្ចាស់                         0.00267580
98     រថយន្ត                         0.00265985
99     ទីផ្សារ                        0.00259244
100    រោងចក្រ                        0.00250863

Actual features saved: 100

============================================================

Category: politic
------------------------------
Documents in category: 2000

Rank   Feature                        Weight      
--------------------------------------------------
1      សម្តេច                         0.20654309
2      គណបក្ស                         0.18355966
3      តេជោ                           0.11570084
4      ប្រទេស                         0.11461573
5      រដ្ឋមន្ត្រី                    0.10241458
6      ហ៊ុន                           0.10233558
7      នយោបាយ                         0.09891060
8      ជាតិ                           0.08967679
9      នាយក                           0.07560687
10     សែន                            0.07516409
11     ប្រជាជន                        0.07210100
